commenter_name,profile_url,comment_text,comment_time
Noureen Elmahlawy,https://www.facebook.com/nourin.elmahlawy,انا سجلت بس هل تم الاختيار ولا لسه,a week ago
Heba Khatab,https://www.facebook.com/profile.php,Wow,2 weeks ago
Asmaa M. Moussa,https://www.facebook.com/somy.mohamed.94,ممكن ديتيلس يا كوتش,2 weeks ago
Dodobata Bader,https://www.facebook.com/dodobata.bader,تفاصيل اكثر,a week ago
Abeer Mohamed,https://www.facebook.com/abeer.mohamed.414003,تفاصيل,2 weeks ago
