post_text,likes,comments,shares,post_time,post_link
Wishing you a joyful Eid Al-Adha filled with happiness and blessingsكل عام وأنتم بخير بمناسبة عيد الأضحى المبارك…See more April GGX Schedule is here!Stay consistent and keep pushing forward with our updated class lineup.…See more,,,,neosoSprtdf6a0c2916f5u207h6uui70ff3h4cl407a5ligt2y7h1h6l0M5,https://www.facebook.com/wealthgymgoldsgymalexandriaclub/posts/pfbid0CLhARvXjAAp9SMqd8QknxBhxQC42PmqEPxagttHd5M1gWiCoEVmFjABrZZ1HysyZl
,,,,,
April GGX Schedule is here!Stay consistent and keep pushing forward with our updated class lineup.…See more,,,,ednsporoStg48Ai8fr076h1lc4l38108l2131uu7il0i5g93cmh5paa9819,https://www.facebook.com/wealthgymgoldsgymalexandriaclub/posts/pfbid022nETtzUtEQdqJYUeZgQ7Vjq3mU8M69qHmYSba3zpKWye9QaXM2DYZTWyhMrbTxmzl
تنويه هامتم تعديل مواعيد عمل الجيم لتكون من 6 صباحًا حتى 9 مساءً،…See more,,,,ednsporoStg48Mc8fr76h1lc4l38108h2131uu7il0i2g793cmh5aaa9819,https://www.facebook.com/wealthgymgoldsgymalexandriaclub/posts/pfbid02C4XeJhvvKsoKw6Qvz5GXCX9fbifvvNYjixwEoVA5sd4LVdGYNNEamp6ScGMj9ZU2l
