post_text,likes,comments,shares,post_time,post_link
Wishing you a joyful Eid Al-Adha filled with happiness and blessingsكل عام وأنتم بخير بمناسبة عيد الأضحى المبارك…See more April GGX Schedule is here!Stay consistent and keep pushing forward with our updated class lineup.…See more,,,,sooreptSnd3laml8h8h5ft69l490ylhfm3it8192g08c09uat551t49tM6g,https://www.facebook.com/wealthgymgoldsgymalexandriaclub/posts/pfbid0CLhARvXjAAp9SMqd8QknxBhxQC42PmqEPxagttHd5M1gWiCoEVmFjABrZZ1HysyZl
,,,,,
April GGX Schedule is here!Stay consistent and keep pushing forward with our updated class lineup.…See more,,,,erdotpnSsofAiitl9u74rm4177c0cu8p0g5418ma5l1fag60m7tih1fg931,https://www.facebook.com/wealthgymgoldsgymalexandriaclub/posts/pfbid022nETtzUtEQdqJYUeZgQ7Vjq3mU8M69qHmYSba3zpKWye9QaXM2DYZTWyhMrbTxmzl
تنويه هامتم تعديل مواعيد عمل الجيم لتكون من 6 صباحًا حتى 9 مساءً،…See more,,,,erdotpnSsofirtl9u74am4177c0cu8M0g5418ma2h1fag60m7tih71cg931,https://www.facebook.com/wealthgymgoldsgymalexandriaclub/posts/pfbid02C4XeJhvvKsoKw6Qvz5GXCX9fbifvvNYjixwEoVA5sd4LVdGYNNEamp6ScGMj9ZU2l
"Happy Eid Everyone1st Day, we’re off …See more",,,,erdotpnSsofirtl9u74am4177c0cu8M0g5418ma1h1fag60m7tih91cg931,https://www.facebook.com/wealthgymgoldsgymalexandriaclub/posts/pfbid022WBKBxtuvSx5Q5SnNjtXPD8kHgWrCnrVdjwP5aRprVZyEEo4WxiB5gd83h1UgMw5l
Ramadan Kareem everyone.. Check out our Ramadan’s fitness schedule and get ready for it.. Please note that 1st day of Ramadan will be off for all classes,,,,donresStpo82h796yfbr0uF5a9u2ag0877371temuc8tul1u9g9r1hfh3t4,https://www.facebook.com/wealthgymgoldsgymalexandriaclub/posts/pfbid02nQQsHAYLrt1o51L7sx5vdzgFsBXBQsDQntdZQL9zzwU7NmQFvvmLacgzG1Vs68ayl
