post_text,likes,comments,shares,post_time,post_link
يعلن نادي سبورتنج عن فتح باب تجديد الاشتراك السنوي للعام 2026 / 2027.ويمكن السداد من خلال:• إدارة الاشتراكات بالنادي ( من الساعة ٩ ص وحتى ٤ ع جميع أيام الإسبوع عدا الجمعة والأجازات الرسمية )• الموقع الإلكتروني الرسمي للنادي.• تطبيق نادي سبورتنجhttps://onelink.to/cbjsjf• ماكينات فوري بجميع المنافذ على مستوى الجمهورية.كما يجري حاليًا العمل على إتاحة خدمة السداد مباشرةً من خلال تطبيق فوري، وسيتم الإعلان عن تفعيل الخدمة فور الانتهاء من الإجراءات اللازمة.وكل عام وأنتم جميعا بخير سبورتنج مش مجرد نادي .. دي حكاية مدينة وروح مجتمع .. وتاريخ مستمر .. إعلان......…See more إعلان......…See more,,,,onostdSpref5066089i27712i5u78c0497mf0hh710tf86112gc4c63ct77t,https://www.facebook.com/Sporting.Club.Alexandria/posts/pfbid05B3NekCzyz4oK1u2zLjsFzQ1ia1GBL1Lq4LjaEWgmXxrJqHvYCDTRdDw7Hs8eJpLl
إعلان......…See more,,,,dpSseootrn7mcs0231hmcaai090e84t9emf5:1a8idt03725gyla21hYar,https://www.facebook.com/Sporting.Club.Alexandria/posts/pfbid0CcrkG6RskhYPbeeQMsRhm367EF4nVijTYSgw8xSqjAE5AicVRGpboLtpWJWYWiABl
إعلان.......…See more,,,,dpSseootrn7mcs7231hmcaai091e84t9emf5:1a8idt03724gyla21hYar,https://www.facebook.com/Sporting.Club.Alexandria/posts/pfbid035cbTHj1wMXVy1s7CXGhqvbWruFVNC9BqCohbejPcQbD5XEMtVftFrq7AYkiMiNvdl
