post_text,likes,comments,shares,post_time,post_link
"Refined taste, effortless moments.…See more Simple ingredients. Precise craftsmanship. Our classic latte proves that perfection doesn’t need complexity.…See more",,,,dnSsooprett4g8n3il101aa8i0u037t2g0i8i78a3eut31h7hg7a:mJuc,https://www.facebook.com/Taikicoffeeculture/posts/pfbid0zzvJL2rzA6pYvZaNc3MqoKeS2Qp2mTUstyh53cNqFcR93xarPnSizN6RoaZTen2yl
,,,,,
Simple ingredients. Precise craftsmanship. Our classic latte proves that perfection doesn’t need complexity.…See more,,,,onespSodtrgJ5iiiam7tun3cti7010e9h11hh219aiu3l11c08:c107f8,https://www.facebook.com/Taikicoffeeculture/posts/pfbid0bngnVkFA9LNm4DQQtoL3wYn8vRRPNJWnjAoUajTAAaeb4dmQiRWHdXB2LVBRAdEtl
"Two ways to beat the heat:Espresso Affogato for the coffee lovers, Matcha aisu with nuts for the matcha fans.…See more",,,,onespSodtrgJ5iiiam7tun3cti7010e9h21hh109aiu3l11c18:c107f8,https://www.facebook.com/Taikicoffeeculture/posts/pfbid031shds3v2R8kRrdCN8x6uyPbagi2uRQHafE4XDfvgLiFiWq4TC8XYDhbN2hRjB7Fvl
